song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,4,0,0.0,30.0,3.1,0.0,11.7
990 (Feat. Kim Ximya),Beenzino,album,True,5,0,0.0,46.4,3.56,0.0,17.74
A Psalm of Life,Lim Young Woong,album,False,121,6,25.3,59.1900826446281,3.89,1.49,59.12
A Yo (Feat. Beenzino),E SENS,album,False,1,0,0.0,38.0,3.87,0.0,13.6
A bientot,Lim Young Woong,album,False,282,24,7.2,58.773049645390074,4.27,2.55,113.57
ABCD,NAYEON,album,False,26,1,2.0,60.88461538461539,2.71,1.15,29.46
AK47,Men's Tear & 뷰티풀너드,single,False,25,2,2.0,49.76,2.68,2.4,25.62
ALL RED,Playboi Carti,single,True,3,0,0.0,83.66666666666667,2.47,0.0,30.18
ANTIFRAGILE,LE SSERAFIM,album,False,50,1,13.0,77.4,3.07,0.6,42.44
APT.,ROSÉ & Bruno Mars,single,False,39,0,0.0,94.71794871794872,2.83,0.0,44.85
ASAP,NewJeans,single,False,44,0,0.0,85.1590909090909,2.24,0.0,43.01
Accendio,IVE,single,False,2,0,0.0,59.5,3.2,0.0,21.42
After LIKE,IVE,single,False,48,0,0.0,84.27083333333333,2.9500000000000006,0.0,43.89
All I Want for Christmas Is You,Mariah Carey,album,False,12,1,6.0,99.75,4.02,2.5,38.86
All Or Nothing,J Money & KingLee,single,True,2,1,26.0,48.5,2.86,15.0,17.92
Allergy,(G)I-DLE,single,False,25,0,0.0,75.48,2.71,0.0,33.92
Alone,Jimin,single,False,408,6,4.7,77.98529411764706,3.52,0.44,151.79
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga,compilation,False,1,0,0.0,27.0,2.93,0.0,9.75
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,217,0,0.0,82.07373271889401,2.93,0.0,93.83
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,87,4,37.0,71.55172413793103,1.05,1.38,52.54
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,single,False,65,3,26.3,73.12307692307692,2.94,1.38,46.14
Another Level,Jin,album,False,7,0,0.0,54.57142857142857,2.71,0.0,21.2
Another Level,Jin,single,False,4,0,0.0,72.0,2.71,0.0,26.4
Armageddon,aespa,album,False,178,5,2.0,74.16292134831461,3.2700000000000005,0.84,81.11
Armageddon,aespa & Grimes & Flava D,single,False,2,1,15.0,18.0,3.27,15.0,7.25
As You Wish,WJSN,single,False,2,0,0.0,52.5,3.26,0.0,18.98
Attention,NewJeans,single,False,151,10,26.7,82.33112582781457,3.0,1.99,77.62
Attention (250 Remix),NewJeans,album,False,1,0,0.0,58.0,3.02,0.0,20.6
BACK TO ME,Kanye West & Ty Dolla $ign,album,True,2,0,0.0,82.0,4.92,0.0,29.3
BAHAMA,aespa,album,False,1,0,0.0,56.0,3.18,0.0,19.9
BIRDS OF A FEATHER,Billie Eilish,album,False,185,3,2.0,97.48648648648648,3.5099999999999993,0.49,90.67
BURN,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,80.0,1.86,0.0,28.3
"BY COLOR, WHITE COLOR (Feat. KOVV)",YANGHONGWON,album,False,3,0,0.0,39.333333333333336,3.27,0.0,14.67
Baddie,IVE,single,False,62,3,14.0,78.40322580645162,2.57,1.45,47.09
Baggy Jeans,NCT,album,False,24,1,7.0,61.291666666666664,3.52,1.25,29.0
Bam Yang Gang,BIBI,single,False,77,3,3.0,74.33766233766234,2.44,1.17,50.17
Be Mine,Jimin,album,False,129,1,2.0,80.11627906976744,3.46,0.23,67.09
Beautiful Things,Benson Boone,album,False,24,0,0.0,81.75,3.01,0.0,35.81
Beautiful Things,Benson Boone,single,False,62,4,2.0,98.41935483870968,3.01,1.94,54.45
Better Things,aespa,single,False,32,2,9.5,76.4375,3.39,1.88,37.05
Big Dawgs,Hanumankind & Kalmi,single,True,6,1,2.0,92.0,3.18,5.0,34.35
Bite Me,ENHYPEN,single,False,23,1,4.0,84.91304347826087,2.63,1.3,36.97
Bling-Bang-Bang-Born,Creepy Nuts,single,False,43,4,6.8,90.4186046511628,2.8,2.79,45.95
Blue,V,single,False,67,4,15.2,84.14925373134328,2.5,1.79,50.95
Boat,george,single,False,3,0,0.0,58.0,3.2000000000000006,0.0,21.2
Boom Boom Bass,RIIZE,album,False,95,4,2.0,65.33684210526316,2.55,1.26,52.77
"Boys Like Girls (Feat. Gist, Jayci yucca)",Leellamarz,album,False,5,0,0.0,26.2,2.44,0.0,10.67
Broken Melodies,NCT DREAM,album,False,2,1,20.0,56.0,3.77,15.0,20.55
Broken Melodies,NCT DREAM,single,False,10,0,0.0,68.7,3.7700000000000005,0.0,27.04
Bubble,STAYC,single,False,1,0,0.0,58.0,2.99,0.0,20.6
Bubble Gum,NewJeans,single,False,128,7,3.0,77.8984375,3.34,1.64,68.11
Bubble Gum (Instrumental),NewJeans,single,False,1,0,0.0,52.0,3.34,0.0,18.5
But Daddy I Love Him,Taylor Swift,album,True,2,0,0.0,81.0,5.67,0.0,28.95
But Sometimes,BOYNEXTDOOR,single,False,19,1,4.0,66.63157894736842,2.92,1.58,29.37
CARNIVAL,Kanye West & Ty Dolla $ign,album,True,3,0,0.0,85.66666666666667,4.41,0.0,30.88
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,album,True,13,3,7.3,87.07692307692308,4.41,6.92,35.43
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,single,True,1,0,0.0,0.0,4.41,0.0,0.3
CHIHIRO,Billie Eilish,album,False,4,1,4.0,83.5,5.06,7.5,30.78
CRAZY,LE SSERAFIM,album,False,80,1,2.0,77.3375,2.74,0.38,51.42
CRAZY,LE SSERAFIM,single,False,3,0,0.0,73.66666666666667,2.74,0.0,26.68
CROOKED,G-DRAGON,album,False,7,2,10.5,61.714285714285715,3.75,8.57,24.4
Camp,Beenzino,album,True,2,0,0.0,40.0,3.67,0.0,14.6
Candy (Feat. Zion.T),Jay Park,single,False,7,3,3.7,61.0,3.1,12.86,24.5
Chasing Lightning,LE SSERAFIM,single,False,1,0,0.0,60.0,3.42,0.0,21.3
Chasing That Feeling,TOMORROW X TOGETHER,album,False,5,0,0.0,45.0,3.04,0.0,17.25
Cheers to youth,SEVENTEEN,album,False,3,0,0.0,63.333333333333336,3.19,0.0,23.07
Chemical,Post Malone,single,True,1,0,0.0,91.0,3.07,0.0,32.15
Cherish (My Love),ILLIT,single,False,36,0,0.0,66.97222222222223,2.95,0.0,34.24
Chill Kill,Red Velvet,album,False,17,0,0.0,72.23529411764706,3.58,0.0,30.38
Chk Chk Boom,Stray Kids,album,False,17,1,4.0,64.23529411764706,2.47,1.76,27.93
Christmas Love,Jimin,single,False,29,14,12.8,69.72413793103448,3.3,14.48,38.0
Christmas Tree,V,single,False,72,1,9.0,83.20833333333333,3.5,0.42,51.07
Christmas Without You,Ava Max,single,False,3,0,0.0,85.0,2.82,0.0,30.65
Circles,Post Malone,album,False,2,0,0.0,89.0,3.59,0.0,31.75
Citi+,YANGHONGWON,single,False,1,0,0.0,40.0,2.53,0.0,14.3
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,single,False,4,1,4.0,56.75,2.77,7.5,21.41
Closer Than This,Jimin,album,False,129,1,2.0,74.30232558139535,3.72,0.23,65.06
Closer Than This,Jimin,single,False,207,3,2.0,84.70531400966183,3.72,0.43,92.8
Closer to You (feat. Major Lazer),Jung Kook,album,False,60,13,13.1,82.98333333333333,2.85,6.5,51.59
Coca Cola Red (Feat. oygli),Beenzino,album,True,5,0,0.0,46.0,3.34,0.0,17.6
Combo,RIIZE,album,False,2,0,0.0,38.0,3.66,0.0,13.9
Come back to me,RM,album,False,1,1,10.0,63.0,6.48,30.0,22.7
Come back to me,RM,single,False,5,0,0.0,74.4,6.480000000000001,0.0,27.54
Cool With You,NewJeans,single,False,86,1,4.0,86.96511627906976,2.46,0.35,56.59
Cosmic,Red Velvet,single,False,25,1,2.0,69.8,3.76,1.2,32.28
Crazier,LE SSERAFIM,single,False,1,0,0.0,61.0,2.98,0.0,21.65
Cream Soda,EXO,album,False,2,0,0.0,75.5,3.09,0.0,27.02
"Crime (Feat. Bek Hyunjin, 250)",Beenzino,album,True,2,0,0.0,40.0,3.6,0.0,14.6
Cruel Summer,Taylor Swift,album,False,251,16,13.1,97.41035856573706,2.97,1.91,114.99
Cupid,FIFTY FIFTY,single,False,52,1,5.0,87.76923076923077,2.8999999999999995,0.58,46.67
Cupid - Twin Ver.,FIFTY FIFTY,single,False,65,3,6.3,98.21538461538462,2.9,1.38,54.93
Cupido,Engel Montaz & Kuv507 & Latinnites Music,single,False,4,1,2.0,69.0,3.58,7.5,25.7
DASH,NMIXX,album,False,56,0,0.0,77.82142857142857,2.78,0.0,44.04
DELRESTO (ECHOES),Travis Scott,album,True,1,0,0.0,0.0,4.57,0.0,0.3
DIE 4 YOU,DEAN,single,False,28,0,0.0,71.57142857142857,3.23,0.0,33.45
DO IT,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,78.0,3.75,0.0,27.6
DRIP,BABYMONSTER,album,False,24,0,0.0,76.25,3.01,0.0,33.89
Dance The Night (From Barbie The Album),Dua Lipa,single,False,18,3,18.3,95.33333333333333,2.94,5.0,39.82
Dancing In The Flames,The Weeknd,single,False,7,0,0.0,82.0,3.6699999999999995,0.0,30.8
Dangerous,BOYNEXTDOOR,album,False,5,0,0.0,55.8,2.4,0.0,21.03
Dangerous,BOYNEXTDOOR,single,False,7,0,0.0,61.57142857142857,2.4,0.0,23.65
Dangerously,Charlie Puth,album,False,28,4,5.2,52.82142857142857,3.32,4.29,28.29
Dare to Love (feat. BIG Naughty),B.I,album,False,8,1,3.0,63.75,2.93,3.75,25.06
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",album,True,2,0,0.0,79.0,4.23,0.0,28.25
Deja Vu,TOMORROW X TOGETHER,album,False,28,0,0.0,82.21428571428571,2.86,0.0,37.17
Demon,$ecrecy,album,True,1,0,0.0,38.0,2.32,0.0,13.6
Deseydin Anlardım,EDES,single,False,2,0,0.0,1.0,2.51,0.0,0.95
Die With A Smile,Lady Gaga & Bruno Mars,single,False,103,0,0.0,96.80582524271844,4.19,0.0,64.78
Discord,QWER,single,False,5,1,3.0,58.4,2.8,6.0,22.29
Ditto,NewJeans,single,False,374,27,7.0,84.05882352941177,3.0899999999999994,2.17,151.07
Ditto (250 Remix),NewJeans,album,False,2,0,0.0,58.5,3.36,0.0,21.08
Do or Die,Lim Young Woong,single,False,390,7,3.4,65.70769230769231,3.42,0.54,142.45
Don't Look Back In Anger - Remastered,Oasis,album,False,2,1,2.0,77.5,4.83,15.0,28.08
Don't Look Back in Anger - Remastered,Oasis,album,False,5,2,2.0,73.6,4.83,12.0,27.96
Dopamine - GISELLE Solo,aespa,single,False,1,0,0.0,63.0,3.23,0.0,22.35
Dope As (Interlude),Beenzino,album,True,2,0,0.0,41.5,1.12,0.0,15.12
Down Bad,Taylor Swift,album,True,5,0,0.0,83.6,4.35,0.0,30.76
Drama,aespa,album,False,224,8,15.1,84.23214285714286,3.5800000000000005,1.07,99.48
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,single,False,161,4,7.5,84.7888198757764,3.3600000000000003,0.75,79.38
Drowning,WOODZ,single,False,7,2,2.5,60.285714285714285,4.08,8.57,23.9
EASY,LE SSERAFIM,single,False,142,10,6.1,84.33098591549296,2.74,2.11,75.62
ENGLAND,YANGHONGWON,album,False,4,0,0.0,42.0,2.57,0.0,15.9
ETA,NewJeans,single,False,341,18,8.3,83.40469208211144,2.52,1.58,137.79
"Earth, Wind & Fire",BOYNEXTDOOR,album,False,25,0,0.0,70.52,2.98,0.0,32.18
Either Way,IVE,single,False,38,0,0.0,76.86842105263158,2.78,0.0,38.3
Elevator,Lim Young Woong,single,False,6,3,6.7,55.333333333333336,3.4599999999999995,15.0,22.22
Espresso,Sabrina Carpenter,album,True,13,0,0.0,84.84615384615384,2.92,0.0,33.6
Espresso,Sabrina Carpenter,single,True,163,2,2.0,97.37423312883436,2.92,0.37,83.68
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,album,False,131,0,0.0,84.03053435114504,3.09,0.0,68.71
Even for a moment,Sung Si Kyung & Naul,single,False,1,0,0.0,0.0,4.89,0.0,0.3
Event Horizon,Younha,album,False,1,0,0.0,64.0,5.01,0.0,22.7
Every Moment With You,JAESSBEE,single,False,8,0,0.0,46.0,2.87,0.0,18.5
FE!N,Travis Scott,album,True,3,0,0.0,57.0,3.2000000000000006,0.0,20.85
FE!N (feat. Playboi Carti),Travis Scott,album,True,3,0,0.0,90.0,3.2000000000000006,0.0,32.4
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,album,True,9,1,14.0,68.88888888888889,2.7744444444444443,3.33,27.16
FLOWER,JISOO,single,False,44,3,9.0,85.27272727272727,2.89,2.05,44.1
FOREVER,BABYMONSTER,single,False,7,0,0.0,58.285714285714285,3.55,0.0,22.5
FRI(END)S,V,single,False,120,6,2.3,89.825,2.47,1.5,69.54
FRI(END)S (Instrumental),V,single,False,8,0,0.0,72.375,2.47,0.0,27.73
FRI(END)S (Slowed Down),V,single,False,8,0,0.0,71.625,2.7,0.0,27.47
FRI(END)S (Sped Up),V,single,False,8,0,0.0,71.875,2.05,0.0,27.56
FRIED,¥$ & Kanye West & Ty Dolla $ign,album,True,3,0,0.0,47.333333333333336,2.99,0.0,17.47
FUK SUMN,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,80.0,3.49,0.0,28.3
Face-off,Jimin,single,True,406,10,3.4,78.76354679802955,3.83,0.74,152.87
Fact Check,NCT 127,album,False,9,1,6.0,60.77777777777778,3.08,3.33,24.32
Falling,Jin,album,False,7,0,0.0,53.857142857142854,2.98,0.0,20.95
Falling,Jin,single,False,4,0,0.0,71.25,2.98,0.0,26.14
Fast Forward,JEON SOMI,single,False,76,0,0.0,73.1842105263158,2.68,0.0,48.41
Fate,(G)I-DLE,album,False,98,4,2.8,72.43877551020408,2.69,1.22,56.15
Father,Lim Young Woong,album,False,106,5,4.8,58.716981132075475,3.9699999999999998,1.42,54.1
Fighting (Feat. Lee Young Ji),BSS,single,False,18,1,4.0,78.0,3.41,1.67,33.05
Filter,BTS,album,False,7,3,98.7,74.42857142857143,3.0,12.86,29.2
"Flights, Not Feelings",aespa,single,False,2,0,0.0,53.0,3.03,0.0,19.15
Flooded The Face,Lil Uzi Vert,album,True,1,0,0.0,79.0,3.21,0.0,27.95
Flowers,aespa,single,False,1,0,0.0,51.0,3.18,0.0,18.15
For Us,V,single,False,71,1,52.0,84.28169014084507,2.85,0.42,51.15
Fortnight (feat. Post Malone),Taylor Swift,album,False,43,2,3.0,93.97674418604652,3.82,1.4,46.49
Fry’s Dream,AKMU,single,False,53,2,7.0,62.18867924528302,3.41,1.13,38.37
G.O.A.T,TAEMIN,single,False,1,0,0.0,52.0,2.98,0.0,18.5
GOD'S COUNTRY,Travis Scott,album,True,1,0,0.0,0.0,2.13,0.0,0.3
GODS,League of Legends & NewJeans,single,False,111,2,4.5,85.72972972972973,3.68,0.54,64.01
GOSLOW,YANGHONGWON,album,False,3,0,0.0,40.333333333333336,2.85,0.0,15.02
Get A Guitar,RIIZE,single,False,190,8,6.2,69.57368421052631,2.67,1.26,84.15
Get The Hell Out,DAY6,album,False,1,0,0.0,52.0,2.77,0.0,18.5
Get Up,NewJeans,single,False,38,0,0.0,85.63157894736842,0.6,0.0,41.37
Girls Never Die,tripleS,album,False,46,1,3.0,68.45652173913044,3.13,0.65,38.11
God of Music,SEVENTEEN,album,False,11,0,0.0,64.0909090909091,3.42,0.0,25.73
Gonna Be A Rock,BOYNEXTDOOR,album,False,1,0,0.0,55.0,3.29,0.0,19.55
Good Bones,LE SSERAFIM,single,False,2,0,0.0,66.5,2.67,0.0,23.88
Grain of Sand,Lim Young Woong,single,False,517,7,3.4,65.1624758220503,3.67,0.41,180.36
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,single,False,8,1,3.0,88.375,2.39,3.75,33.68
Gym,Beenzino,album,True,2,0,0.0,39.0,3.42,0.0,14.25
HAPPY,DAY6,album,False,90,1,161.0,62.36666666666667,3.17,0.33,49.18
HAPPY,DAY6,single,False,2,0,0.0,56.0,3.17,0.0,20.2
HARD,SHINee,album,False,4,0,0.0,66.5,2.95,0.0,24.48
HELIOT EMIL,CHANGMO,single,False,1,0,0.0,45.0,2.3,0.0,16.05
HERO,Lim Young Woong,single,False,111,4,3.5,58.52252252252252,3.61,1.08,55.18
HEYA,IVE,single,False,61,0,0.0,61.721311475409834,3.16,0.0,39.9
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON & TAEYANG & DAESUNG,single,False,4,0,0.0,63.75,3.52,0.0,23.51
HYAENA,Travis Scott,album,True,2,0,0.0,42.5,3.7,0.0,15.47
Haegeum,Agust D,album,False,149,5,3.4,86.87919463087249,2.82,1.01,76.86
Hate You,Jung Kook,album,False,139,6,2.5,83.41726618705036,2.57,1.29,73.0
Heart on the Window (with WENDY),Jin,album,False,7,0,0.0,55.42857142857143,2.95,0.0,21.5
Heart on the Window (with WENDY),Jin,single,False,4,0,0.0,72.0,2.95,0.0,26.4
Heavy Is the Crown,Linkin Park,single,False,1,0,0.0,78.0,2.78,0.0,27.6
Hell yea,Leellamarz & YANGHONGWON,single,False,1,0,0.0,38.0,3.23,0.0,13.6
Here With Me,d4vd,single,False,50,0,0.0,78.96,4.04,0.0,42.64
High Note,KingLee & Code G,single,True,2,0,0.0,65.0,4.02,0.0,23.35
Holssi,IU,single,False,31,2,2.5,67.87096774193549,3.18,1.94,33.75
Home,Lim Young Woong,single,False,191,3,3.7,62.63350785340314,3.92,0.47,80.27
Honestly,RIIZE,single,False,1,0,0.0,51.0,3.23,0.0,18.15
Horizon,TAEMIN,single,False,2,0,0.0,53.5,2.95,0.0,19.32
How Sweet,NewJeans,single,False,184,2,2.0,81.02173913043478,3.65,0.33,84.26
How Sweet (Instrumental),NewJeans,single,False,5,0,0.0,60.8,3.65,0.0,22.78
"How can I love the heartbreak, you're the one I love",AKMU,album,False,33,2,2.0,61.21212121212121,4.83,1.82,32.02
Hype Boy,NewJeans,single,False,321,21,10.2,82.57009345794393,2.98,1.96,132.55
I AM,IVE,album,False,159,0,0.0,86.41509433962264,3.06,0.0,77.95
I Don’t Think That I Like Her,Charlie Puth,album,False,8,4,7.5,73.0,3.14,15.0,29.35
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,single,True,9,1,4.0,89.44444444444444,2.97,3.33,34.36
I Like Me Better,Lauv,album,False,2,1,2.0,84.0,3.29,15.0,30.35
I Love You,Lim Young Woong,album,False,150,12,13.1,58.64,3.98,2.4,69.72
I stan U,IU,single,False,4,0,0.0,55.0,3.21,0.0,20.45
I will come to you,Jin,album,False,6,1,2.0,54.333333333333336,2.62,5.0,21.17
I will come to you,Jin,single,False,4,0,0.0,71.0,2.62,0.0,26.05
I'll Be There,Jin,single,False,25,0,0.0,86.4,3.03,0.0,37.74
ISTJ,NCT DREAM,album,False,7,0,0.0,66.14285714285714,3.09,0.0,25.25
ITEM,Stray Kids,album,False,1,0,0.0,69.0,3.19,0.0,24.45
If I have you only (My love X Nerd Connection),Nerd Connection,single,False,56,9,17.4,53.642857142857146,4.18,4.82,38.72
"If I’m S, Can You Be My N?",TWS,single,False,21,1,2.0,67.19047619047619,2.8,1.43,30.17
If We Ever Meet Again,Lim Young Woong,album,False,504,8,2.1,60.142857142857146,4.57,0.48,175.05
Igloo,KISS OF LIFE,single,False,33,0,0.0,76.75757575757575,2.2,0.0,36.77
Impossible,RIIZE,album,False,3,0,0.0,25.666666666666668,3.0400000000000005,0.0,9.88
Impossible,RIIZE,single,False,37,1,24.0,67.35135135135135,3.04,0.81,35.02
In Bed/Makgulli,Beenzino,album,True,4,0,0.0,45.75,4.62,0.0,17.21
In Bloom,ZEROBASEONE,single,False,6,2,3.0,75.66666666666667,3.02,10.0,28.98
Interlude : Dive,Jimin,single,False,365,21,3.1,77.10684931506849,2.18,1.73,143.84
Interlude : Showtime,Jimin,album,False,129,1,2.0,73.43410852713178,1.31,0.23,64.75
Intro: Singularity,BTS,album,False,6,2,3.5,71.0,3.28,10.0,27.35
It's Beginning to Look a Lot like Christmas,Michael Bublé,album,False,4,0,0.0,87.0,3.45,0.0,31.65
It's the Most Wonderful Time of the Year,Andy Williams,album,False,2,0,0.0,79.0,2.52,0.0,28.25
I’ll Be There,Jin,album,False,7,0,0.0,60.285714285714285,3.03,0.0,23.2
I’ll See You There Tomorrow,TOMORROW X TOGETHER,album,False,7,1,3.0,77.71428571428571,3.28,4.29,29.65
JEALOUSYVALHALLA,YANGHONGWON,album,False,6,0,0.0,44.333333333333336,2.47,0.0,17.32
Jealousyvalhalla,YANGHONGWON,single,False,5,1,4.0,35.4,2.47,6.0,14.24
Jeogeumtong,E SENS,album,False,1,0,0.0,38.0,2.31,0.0,13.6
Jingle Bell Rock,Bobby Helms,single,False,3,0,0.0,94.0,2.18,0.0,33.8
K-POP,Travis Scott & Bad Bunny & The Weeknd,single,True,6,1,3.0,73.83333333333333,3.09,5.0,27.99
KEYS TO MY LIFE,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,79.0,2.9,0.0,27.95
KIDDING,ISEGYE IDOL,single,False,3,0,0.0,35.0,3.5,0.0,13.15
Kill Bill,SZA,album,False,43,3,2.7,94.0,2.57,2.09,46.85
Kill It,aespa,single,False,4,0,0.0,55.0,3.33,0.0,20.45
Kitsch,IVE,album,False,92,2,2.0,79.3804347826087,3.2599999999999993,0.65,56.08
Klaxon,(G)I-DLE,single,False,22,2,3.0,74.27272727272727,2.92,2.73,33.3
LALALALA,Stray Kids,album,False,5,0,0.0,63.2,3.04,0.0,23.62
LALALI,SEVENTEEN,album,False,1,0,0.0,61.0,2.86,0.0,21.65
LOCKDOWN,ISEGYE IDOL,single,False,4,0,0.0,44.25,3.37,0.0,16.69
LOST!,RM,album,True,7,0,0.0,80.0,3.88,0.0,30.1
LOVE DIVE,IVE,single,False,6,3,10.0,83.0,2.9500000000000006,15.0,31.9
"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,single,False,15,0,0.0,74.73333333333333,3.11,0.0,30.66
LUNCH,Billie Eilish,album,False,29,0,0.0,92.20689655172414,2.99,0.0,40.97
Last Christmas - Single Version,Wham!,album,False,8,1,4.0,89.0,4.43,3.75,33.9
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,album,False,226,8,33.5,83.83185840707965,2.57,1.06,99.94
Lemon,Beenzino,album,True,3,0,0.0,43.0,3.03,0.0,15.95
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,album,False,3,0,0.0,95.0,1.95,0.0,34.15
Let Me In,EXO,single,False,1,0,0.0,72.0,3.29,0.0,25.5
Let off steam,Leellamarz & YANGHONGWON,single,False,2,0,0.0,41.0,3.66,0.0,14.95
Let's Say Goodbye,Parc Jae Jung,album,False,78,2,2.0,53.93589743589744,4.06,0.77,42.98
Letter To Myself,TAEYEON,single,False,4,0,0.0,59.0,3.07,0.0,21.85
Licorice,aespa,album,False,3,0,0.0,59.666666666666664,2.65,0.0,21.78
Lie,BTS,album,False,1,0,0.0,70.0,3.6,0.0,24.8
Like A Fool (Feat. Y2K92),Beenzino,album,True,4,0,0.0,43.75,3.37,0.0,16.51
Like Crazy,Jimin,single,False,555,5,2.0,89.22162162162162,3.54,0.27,199.48
Like Crazy (Deep House Remix),Jimin,single,False,28,9,3.7,71.46428571428571,3.0100000000000002,9.64,36.56
Like Crazy (English Version),Jimin,single,False,430,3,2.0,82.1906976744186,3.54,0.21,158.82
Like Crazy (Instrumental),Jimin,single,False,6,2,4.0,68.0,3.5400000000000005,10.0,26.3
Like Crazy (UK Garage Remix),Jimin,single,False,25,8,3.6,71.28,3.51,9.6,35.25
Like That,Future & Metro Boomin,album,True,4,1,2.0,90.0,4.46,7.5,33.05
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,single,True,80,6,4.2,83.3375,3.02,2.25,55.27
Little Light,DOYOUNG,album,False,8,1,3.0,66.625,3.75,3.75,26.07
Live My Life,aespa,album,False,2,0,0.0,57.5,2.65,0.0,20.72
London Boy,Lim Young Woong,single,False,522,10,4.0,64.21072796934865,4.08,0.57,182.57
Lose My Breath,Stray Kids,single,False,1,0,0.0,54.0,2.78,0.0,19.2
Lose My Breath (Feat. Charlie Puth),Stray Kids & Charlie Puth,single,False,1,0,0.0,71.0,2.78,0.0,25.15
Lost and Found,KingLee & Lil' Flip,single,True,3,1,19.0,59.333333333333336,3.65,10.0,22.02
Love 119,RIIZE,single,False,108,3,2.3,70.4074074074074,2.89,0.83,58.09
Love Always Run Away,Lim Young Woong,single,False,134,14,11.4,59.54477611940298,4.05,3.13,65.94
Love Lee,AKMU,single,False,82,1,2.0,75.08536585365853,2.99,0.37,51.23
Love Letter,Lim Young Woong,album,False,75,9,3.7,58.36,3.58,3.6,46.08
Love Me Again,V,single,False,469,4,2.0,88.52878464818764,3.04,0.26,173.09
Love Me Like This,NMIXX,single,False,18,2,2.5,77.16666666666667,3.15,3.33,33.11
Love Station,Lim Young Woong,album,False,5,3,5.7,56.0,3.19,18.0,22.15
Love You With All My Heart,Crush,single,False,34,1,6.0,77.55882352941177,4.07,0.88,37.7
Love wins all,IU,single,False,85,3,2.0,80.50588235294117,4.52,1.06,54.73
Lovely Touch,Lim Young Woong,album,False,119,5,32.0,58.57142857142857,3.25,1.26,57.95
Lovin On Me,Jack Harlow,single,True,15,2,2.5,99.0,2.31,4.0,39.85
Loving You,Lim Young Woong,album,False,8,3,5.3,56.375,3.54,11.25,23.18
Lucky Girl Syndrome,ILLIT,single,False,57,4,6.2,75.71929824561404,2.33,2.11,45.0
MAESTRO,SEVENTEEN,album,False,13,1,4.0,76.6923076923077,3.32,2.31,31.09
MANIAC,VIVIZ,single,False,13,4,5.0,81.61538461538461,3.26,9.23,33.87
MELTDOWN,Travis Scott,album,True,2,0,0.0,42.0,4.1,0.0,15.3
MEOW,MEOVV,single,False,48,1,2.0,69.83333333333333,2.8699999999999997,0.62,39.19
MILLION DOLLAR BABY,Tommy Richman,single,False,118,3,2.3,90.77966101694915,2.59,0.76,68.22
MODERN JAM,Travis Scott,album,True,2,0,0.0,41.5,4.26,0.0,15.12
MY EYES,Travis Scott,album,True,2,0,0.0,41.5,4.19,0.0,15.12
Magnetic,ILLIT,single,False,244,2,2.0,87.40983606557377,2.68,0.25,104.49
Mantra,JENNIE,single,True,46,0,0.0,87.15217391304348,2.28,0.0,44.3
Mars,D.O.,single,False,2,1,6.0,67.5,3.12,15.0,24.58
Melt Away,TAEYEON,single,False,1,0,0.0,55.0,3.27,0.0,19.55
Melt Down,DAY6,album,False,66,4,2.2,63.07575757575758,2.76,1.82,43.28
Memories,RIIZE,single,False,43,4,2.8,73.30232558139535,2.97,2.79,39.96
Midas Touch,KISS OF LIFE,single,False,78,2,5.0,79.5,2.71,0.77,51.92
Midnight Fiction,ILLIT,single,False,17,0,0.0,73.3529411764706,2.8,0.0,30.77
Mine,aespa,album,False,2,0,0.0,59.5,3.22,0.0,21.42
Mistletoe,Justin Bieber,album,False,3,0,0.0,92.0,3.0499999999999994,0.0,33.1
