song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
SOS (Prod. Marshmello),SEVENTEEN,album,False,2,0,0.0,0.0,3.2,0.0,0.6
SPOT!,ZICO,single,False,3,0,0.0,73.33333333333333,2.7999999999999994,0.0,26.57
SPOT!,ZICO & JENNIE,single,False,87,2,45.0,83.82758620689656,2.8,0.69,56.14
STARS,Kanye West & Ty Dolla $ign,album,True,2,0,0.0,82.5,1.92,0.0,29.48
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,album,False,31,3,11.3,73.3225806451613,2.89,2.9,36.01
Salty & Sweet,aespa,single,False,1,0,0.0,74.0,3.36,0.0,26.2
Sandman,Beenzino,album,True,3,0,0.0,42.0,2.93,0.0,15.6
Santa Tell Me,Ariana Grande,single,False,11,0,0.0,95.9090909090909,3.4,0.0,36.87
Saturn,SZA,single,False,10,2,4.5,89.9,3.1,6.0,35.16
Say Less,TAEMIN,single,False,1,0,0.0,51.0,2.59,0.0,18.15
Scenery,V,single,False,12,0,0.0,67.41666666666667,4.9,0.0,27.2
See that?,NMIXX,single,False,24,0,0.0,64.625,3.0499999999999994,0.0,29.82
Serendipity - Full Length Edition,BTS,album,False,1,0,0.0,72.0,4.61,0.0,25.5
Set Me Free Pt.2,Jimin,single,True,430,3,2.0,81.0953488372093,3.35,0.21,158.43
Set The Tone,aespa,album,False,5,0,0.0,60.8,3.38,0.0,22.78
Seven (David Guetta Remix),Jung Kook & Latto & David Guetta,single,True,4,0,0.0,44.5,2.62,0.0,16.77
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,single,True,8,2,4.0,59.5,2.71,7.5,23.92
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,single,False,10,3,3.7,74.5,3.16,9.0,30.12
Seven (feat. Latto) (Explicit Ver.),Jung Kook,album,True,386,4,2.0,86.24870466321244,3.06,0.31,147.39
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,single,True,109,1,3.0,98.30275229357798,3.07,0.28,67.46
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,single,True,2,0,0.0,92.0,3.07,0.0,32.8
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,single,False,20,1,3.0,80.2,3.07,1.5,34.42
Seven (feat. Latto) (Instrumental),Jung Kook & Latto & BTS,single,False,2,0,0.0,78.0,3.07,0.0,27.9
Seven (feat. Latto) (Lofi Mix),Jung Kook & Latto,single,False,2,0,0.0,67.0,3.35,0.0,24.05
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,single,False,6,1,5.0,72.66666666666667,3.36,5.0,27.58
Sexy In The Air,TAEMIN,single,False,11,0,0.0,55.36363636363637,3.25,0.0,22.68
She Smiled,DAY6,album,False,5,0,0.0,53.0,3.38,0.0,20.05
"Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim)",IU,single,False,4,0,0.0,58.0,3.78,0.0,21.5
Shoong! (feat. LISA of BLACKPINK),TAEYANG,album,False,10,0,0.0,78.9,3.4200000000000004,0.0,30.62
Shopper,IU,single,False,18,0,0.0,69.0,3.5999999999999996,0.0,29.55
Shot Glass of Tears,Jung Kook,album,False,45,5,15.8,82.95555555555555,2.79,3.33,44.28
Shxtty Game,DAY6,album,False,3,0,0.0,50.0,3.16,0.0,18.4
Siren,RIIZE,single,False,32,0,0.0,65.4375,2.47,0.0,32.5
Skrr (feat. GISELLE),HAON,single,False,5,0,0.0,55.4,3.65,0.0,20.89
Slime You Out (feat. SZA),Drake & SZA,single,True,2,0,0.0,37.5,5.17,0.0,13.72
Slow Dance (feat. Sofia Carson),Jimin,album,False,129,1,2.0,76.01550387596899,3.14,0.23,65.66
Slow Dancing,V,single,False,235,6,2.2,90.42127659574469,3.12,0.77,104.25
Slow Dancing (FRNK Remix),V,single,False,2,0,0.0,0.0,2.83,0.0,0.6
Slow Dancing (Piano Ver.),V,single,False,60,1,54.0,85.53333333333333,3.13,0.5,48.29
Small girl (feat. D.O.),Lee Young Ji,single,False,93,5,2.8,73.27956989247312,3.16,1.61,55.3
Smart,LE SSERAFIM,single,False,118,3,2.0,77.3135593220339,2.77,0.76,63.51
Smeraldo Garden Marching Band (feat. Loco),Jimin,album,False,129,1,2.0,75.63565891472868,3.05,0.23,65.52
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,single,False,20,1,2.0,89.5,3.05,1.5,37.67
"Smoke (Prod. Dynamicduo, Padi)",Various Artists,single,False,46,0,0.0,71.08695652173913,3.4900000000000007,0.0,38.68
Smoothie,NCT DREAM,single,False,11,0,0.0,67.27272727272727,3.13,0.0,26.85
Snooze (Acoustic) (feat. Justin Bieber),SZA & Justin Bieber,single,True,1,0,0.0,0.0,3.17,0.0,0.3
Snow Flower (feat. Peakboy),V,single,False,12,0,0.0,67.75,3.82,0.0,27.31
Snowman,Sia,album,False,10,1,2.0,94.0,2.76,3.0,36.25
"So Long, London",Taylor Swift,album,False,2,0,0.0,81.5,4.38,0.0,29.12
Somebody,D.O.,single,False,3,0,0.0,76.0,2.65,0.0,27.5
Somebody,Jung Kook,album,False,63,15,5.3,82.47619047619048,2.81,7.14,53.02
Soñar (Breaker),NMIXX,album,False,1,0,0.0,58.0,2.88,0.0,20.6
Spark - WINTER Solo,aespa,single,False,1,0,0.0,64.0,3.34,0.0,22.7
Spicy,aespa,single,False,120,1,3.0,83.16666666666667,3.28,0.25,65.46
Spicy,aespa & Nitepunk,single,False,1,0,0.0,0.0,3.28,0.0,0.3
Spring Snow,10CM,single,False,22,3,3.0,74.31818181818181,3.36,4.09,33.66
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",album,True,2,0,0.0,81.0,3.28,0.0,28.95
Standing Next to You,Jung Kook,album,False,385,5,2.0,91.6025974025974,3.4299999999999997,0.39,149.31
Standing Next to You (USHER Remix),Jung Kook & USHER,single,False,15,0,0.0,82.86666666666666,3.58,0.0,33.5
Standing Next to You (Usher Remix),Jung Kook & USHER,single,False,57,0,0.0,79.17543859649123,3.58,0.0,44.81
Standing Next to You - Sped Up - Remix,Beat Record,album,True,1,0,0.0,0.0,3.52,0.0,0.3
Stay Alive (Prod. SUGA of BTS),Jung Kook,single,False,13,1,25.0,82.3076923076923,3.52,2.31,33.06
Stay With Me (Feat. Skinny Brown),ASH ISLAND,single,False,3,0,0.0,49.0,2.8699999999999997,0.0,18.05
Steady,NCT WISH,album,False,5,1,3.0,53.6,2.99,6.0,20.61
"Steal The Show - From ""Elemental""",Lauv,single,False,105,1,3.0,76.61904761904762,3.2,0.29,58.67
