song,artist,proper_date,popularity,position,gap_days,prev_pop,popularity_jump,rank_jump,album_type,is_explicit
"Our Blues, Our Life",Lim Young Woong,2025-08-12,56,49,3.0,,,,album,False
"Our Blues, Our Life",Lim Young Woong,2025-08-14,56,50,2.0,,,,album,False
People Pt.2 (feat. IU),Agust D,2024-06-07,80,45,4.0,80.0,0.0,-2.0,album,False
People Pt.2 (feat. IU),Agust D,2024-07-02,78,35,25.0,,,,album,False
Perfect Night,LE SSERAFIM,2025-03-15,88,16,2.0,88.0,0.0,0.0,single,False
Perfect Night,LE SSERAFIM,2025-03-26,87,18,2.0,87.0,0.0,0.0,single,False
Perfect Night,LE SSERAFIM,2025-05-13,85,50,3.0,85.0,0.0,-3.0,single,False
Perfect Night,LE SSERAFIM,2025-05-20,84,46,6.0,85.0,-1.0,3.0,single,False
Perfect Night,LE SSERAFIM,2025-05-23,84,49,3.0,,,,single,False
Perfect Night,LE SSERAFIM,2025-06-01,84,48,7.0,84.0,0.0,2.0,single,False
Perfect Night,LE SSERAFIM,2025-06-03,83,46,2.0,,,,single,False
Perfect Night,LE SSERAFIM,2025-06-14,78,50,3.0,78.0,0.0,0.0,single,False
Perfect Night,LE SSERAFIM,2025-08-10,81,42,51.0,78.0,3.0,8.0,single,False
Perfect Night,LE SSERAFIM,2025-08-14,81,37,2.0,81.0,0.0,4.0,single,False
Perfect Night,LE SSERAFIM,2025-08-25,81,50,6.0,81.0,0.0,-10.0,single,False
Perfect Night,LE SSERAFIM,2025-08-28,81,48,3.0,,,,single,False
Perfect Night,LE SSERAFIM,2025-09-01,81,45,4.0,,,,single,False
Please Don't Change (feat. DJ Snake),Jung Kook,2024-12-23,85,46,2.0,86.0,-1.0,-1.0,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2024-12-28,82,50,5.0,,,,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-01-01,83,45,2.0,83.0,0.0,-1.0,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-01-21,84,36,5.0,84.0,0.0,9.0,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-01-23,84,49,2.0,,,,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-01-26,84,49,2.0,84.0,0.0,-1.0,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-02-03,84,46,8.0,,,,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-02-05,84,50,2.0,,,,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-02-13,83,45,6.0,84.0,-1.0,3.0,album,False
Please Don't Change (feat. DJ Snake),Jung Kook,2025-03-15,81,49,6.0,82.0,-1.0,-8.0,album,False
Please Please Please,Sabrina Carpenter,2025-07-12,98,40,2.0,98.0,0.0,-6.0,single,True
Please Please Please,Sabrina Carpenter,2025-07-23,98,50,2.0,99.0,-1.0,-5.0,single,True
Please Please Please,Sabrina Carpenter,2025-08-01,98,50,8.0,98.0,0.0,-1.0,single,True
Please Please Please,Sabrina Carpenter,2025-08-15,98,47,13.0,98.0,0.0,3.0,single,True
Please Please Please,Sabrina Carpenter,2025-08-24,97,33,8.0,98.0,-1.0,14.0,single,True
Pleasure Shop,KEY,2025-09-29,57,48,2.0,54.0,3.0,2.0,single,False
Polaroid,Lim Young Woong,2025-03-15,62,19,2.0,62.0,0.0,0.0,single,False
Polaroid,Lim Young Woong,2025-03-26,61,20,2.0,61.0,0.0,0.0,single,False
Polaroid,Lim Young Woong,2025-07-12,58,29,2.0,58.0,0.0,1.0,single,False
Polaroid,Lim Young Woong,2025-08-14,58,26,2.0,58.0,0.0,-2.0,single,False
Promise,Jimin,2024-05-28,77,45,8.0,78.0,-1.0,-2.0,single,False
Promise,Jimin,2024-05-30,77,42,2.0,,,,single,False
Promise,Jimin,2024-06-02,77,42,3.0,,,,single,False
Promise,Jimin,2024-06-08,77,50,6.0,,,,single,False
Promise,Jimin,2024-06-10,77,50,2.0,,,,single,False
Promise,Jimin,2024-06-28,77,42,2.0,77.0,0.0,3.0,single,False
Promise,Jimin,2024-07-03,77,47,2.0,77.0,0.0,-6.0,single,False
Promise,Jimin,2024-07-07,77,46,3.0,77.0,0.0,3.0,single,False
Promise,Jimin,2024-07-12,77,49,2.0,77.0,0.0,-2.0,single,False
Pump Up The Volume!,PLAVE,2025-09-17,67,47,2.0,67.0,0.0,-2.0,single,False
Pump Up The Volume!,PLAVE,2025-10-24,63,47,33.0,67.0,-4.0,0.0,single,False
Queencard,(G)I-DLE,2024-09-24,85,50,13.0,87.0,-2.0,-7.0,single,False
Queencard,(G)I-DLE,2024-09-29,85,49,5.0,,,,single,False
Rainbow,Lim Young Woong,2024-07-08,60,50,4.0,60.0,0.0,-13.0,album,False
Rainbow,Lim Young Woong,2024-07-10,60,43,2.0,,,,album,False
Rainbow,Lim Young Woong,2024-07-31,59,46,5.0,60.0,-1.0,2.0,album,False
Rainbow,Lim Young Woong,2024-09-01,58,50,2.0,58.0,0.0,0.0,album,False
Rainbow,Lim Young Woong,2024-09-10,59,36,2.0,58.0,1.0,13.0,album,False
Rainbow,Lim Young Woong,2025-03-15,58,31,2.0,59.0,-1.0,0.0,album,False
Rainbow,Lim Young Woong,2025-03-26,57,33,2.0,57.0,0.0,0.0,album,False
Rainbow,Lim Young Woong,2025-06-04,55,49,13.0,57.0,-2.0,0.0,album,False
Rainbow,Lim Young Woong,2025-06-07,55,50,3.0,,,,album,False
Rainbow,Lim Young Woong,2025-06-16,50,49,5.0,51.0,-1.0,-1.0,album,False
Rainbow,Lim Young Woong,2025-06-18,51,50,2.0,,,,album,False
Rainbow,Lim Young Woong,2025-06-21,51,48,3.0,,,,album,False
Rainbow,Lim Young Woong,2025-06-24,52,42,3.0,,,,album,False
Rainbow,Lim Young Woong,2025-06-30,54,46,2.0,54.0,0.0,3.0,album,False
Rainbow,Lim Young Woong,2025-07-12,55,47,2.0,55.0,0.0,-4.0,album,False
Rainbow,Lim Young Woong,2025-07-15,56,45,2.0,56.0,0.0,2.0,album,False
Rainbow,Lim Young Woong,2025-07-29,56,47,5.0,56.0,0.0,-3.0,album,False
Rainbow,Lim Young Woong,2025-08-04,56,48,5.0,56.0,0.0,-1.0,album,False
Rainbow,Lim Young Woong,2025-08-12,56,47,3.0,55.0,1.0,-4.0,album,False
Rainy Days,V,2025-03-02,81,50,10.0,82.0,-1.0,-17.0,single,False
Rainy Days,V,2025-03-11,80,44,2.0,80.0,0.0,6.0,single,False
Rainy Days,V,2025-03-15,79,48,2.0,80.0,-1.0,2.0,single,False
Rainy Days,V,2025-03-24,79,44,8.0,79.0,0.0,-5.0,single,False
Rebirth (Intro),Jimin,2025-08-14,79,10,2.0,79.0,0.0,-1.0,album,False
Right Now,NewJeans,2025-07-12,77,17,2.0,76.0,1.0,-1.0,single,False
Right Now,NewJeans,2025-08-14,77,38,2.0,77.0,0.0,6.0,single,False
Rockstar,LISA,2025-07-12,90,41,2.0,90.0,0.0,-6.0,single,True
SHEESH,BABYMONSTER,2025-07-04,85,50,4.0,84.0,1.0,-3.0,single,False
SOS,KANGDANIEL,2024-08-12,73,47,2.0,74.0,-1.0,-17.0,single,False
SOS,KANGDANIEL,2024-08-23,72,45,2.0,72.0,0.0,-4.0,single,False
SOS,KANGDANIEL,2024-08-31,70,49,8.0,,,,single,False
SPOT!,ZICO & JENNIE,2025-07-12,83,36,2.0,84.0,-1.0,-3.0,single,False
SPOT!,ZICO & JENNIE,2025-10-21,78,45,88.0,83.0,-5.0,2.0,single,False
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,2025-03-06,72,49,16.0,42.0,30.0,-3.0,album,False
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,2025-03-23,74,48,16.0,73.0,1.0,-3.0,album,False
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,2025-03-26,74,32,2.0,74.0,0.0,17.0,album,False
Saturn,SZA,2025-03-08,90,49,7.0,86.0,4.0,-6.0,single,False
Saturn,SZA,2025-03-08,90,49,7.0,87.0,3.0,-2.0,single,False
Saturn,SZA,2025-03-15,91,46,2.0,91.0,0.0,0.0,single,False
Set Me Free Pt.2,Jimin,2025-03-15,78,7,2.0,78.0,0.0,-1.0,single,True
Set Me Free Pt.2,Jimin,2025-03-26,77,4,2.0,78.0,-1.0,1.0,single,True
Set Me Free Pt.2,Jimin,2025-07-12,78,9,2.0,78.0,0.0,-2.0,single,True
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2024-09-05,71,46,6.0,68.0,3.0,-29.0,single,True
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2024-09-07,72,24,2.0,,,,single,True
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-07-27,77,34,5.0,75.0,2.0,-18.0,single,False
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-08-02,77,49,3.0,77.0,0.0,-3.0,single,False
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-08-05,77,49,3.0,,,,single,False
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2025-03-15,88,2,2.0,88.0,0.0,0.0,album,True
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2025-03-26,87,2,2.0,87.0,0.0,0.0,album,True
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2025-07-12,85,3,2.0,85.0,0.0,0.0,album,True
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2025-08-14,86,2,2.0,86.0,0.0,0.0,album,True
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,2024-07-19,95,1,3.0,86.0,9.0,0.0,single,True
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,2024-07-19,80,10,3.0,74.0,6.0,0.0,single,False
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,2024-07-27,77,35,5.0,76.0,1.0,-23.0,single,False
Shot Glass of Tears,Jung Kook,2024-12-12,86,47,2.0,86.0,0.0,0.0,album,False
Shot Glass of Tears,Jung Kook,2024-12-15,85,45,2.0,85.0,0.0,-4.0,album,False
Shot Glass of Tears,Jung Kook,2024-12-19,85,50,3.0,85.0,0.0,-1.0,album,False
Shot Glass of Tears,Jung Kook,2024-12-29,81,50,10.0,,,,album,False
Shot Glass of Tears,Jung Kook,2025-03-01,80,44,62.0,,,,album,False
Slow Dance (feat. Sofia Carson),Jimin,2025-08-14,80,8,2.0,80.0,0.0,-1.0,album,False
Slow Dancing,V,2024-09-17,91,6,3.0,89.0,2.0,-1.0,single,False
Slow Dancing,V,2025-03-15,87,36,2.0,87.0,0.0,5.0,single,False
Slow Dancing,V,2025-03-26,85,26,2.0,85.0,0.0,-1.0,single,False
Slow Dancing,V,2025-05-02,83,48,2.0,83.0,0.0,1.0,single,False
Slow Dancing,V,2025-05-04,82,48,2.0,,,,single,False
Slow Dancing,V,2025-05-07,82,44,2.0,82.0,0.0,4.0,single,False
Slow Dancing (Piano Ver.),V,2024-12-31,79,49,54.0,86.0,-7.0,-1.0,single,False
Small girl (feat. D.O.),Lee Young Ji,2025-07-12,76,11,2.0,75.0,1.0,-1.0,single,False
Small girl (feat. D.O.),Lee Young Ji,2025-08-14,76,27,2.0,77.0,-1.0,1.0,single,False
Small girl (feat. D.O.),Lee Young Ji,2025-09-02,75,43,2.0,75.0,0.0,1.0,single,False
Small girl (feat. D.O.),Lee Young Ji,2025-09-09,74,44,6.0,75.0,-1.0,-1.0,single,False
Small girl (feat. D.O.),Lee Young Ji,2025-09-13,74,50,2.0,74.0,0.0,-3.0,single,False
Smart,LE SSERAFIM,2025-03-15,87,9,2.0,87.0,0.0,1.0,single,False
Smart,LE SSERAFIM,2025-03-26,47,11,2.0,0.0,47.0,-1.0,single,False
Smart,LE SSERAFIM,2025-05-27,80,39,2.0,80.0,0.0,-3.0,single,False
Smeraldo Garden Marching Band (feat. Loco),Jimin,2025-08-14,80,4,2.0,80.0,0.0,0.0,album,False
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,2025-07-12,91,2,2.0,91.0,0.0,0.0,single,False
Snowman,Sia,2024-12-21,94,34,2.0,94.0,0.0,10.0,album,False
Somebody,Jung Kook,2024-12-06,86,48,2.0,86.0,0.0,-1.0,album,False
Somebody,Jung Kook,2024-12-10,86,50,2.0,86.0,0.0,-3.0,album,False
Somebody,Jung Kook,2024-12-12,86,48,2.0,,,,album,False
Somebody,Jung Kook,2024-12-16,85,46,2.0,86.0,-1.0,-3.0,album,False
Somebody,Jung Kook,2024-12-21,84,49,5.0,,,,album,False
Somebody,Jung Kook,2025-01-25,82,50,35.0,,,,album,False
Somebody,Jung Kook,2025-01-28,82,46,3.0,,,,album,False
Somebody,Jung Kook,2025-02-02,82,48,2.0,82.0,0.0,0.0,album,False
Somebody,Jung Kook,2025-02-08,82,47,6.0,,,,album,False
Somebody,Jung Kook,2025-02-10,82,48,2.0,,,,album,False
Somebody,Jung Kook,2025-02-13,81,49,3.0,,,,album,False
Somebody,Jung Kook,2025-02-17,81,45,3.0,81.0,0.0,-4.0,album,False
Somebody,Jung Kook,2025-02-26,81,45,9.0,,,,album,False
Somebody,Jung Kook,2025-03-07,80,41,2.0,80.0,0.0,1.0,album,False
Somebody,Jung Kook,2025-03-10,79,50,2.0,80.0,-1.0,-8.0,album,False
Spicy,aespa,2024-09-15,80,46,3.0,81.0,-1.0,4.0,single,False
Spring Snow,10CM,2025-05-19,69,44,2.0,60.0,9.0,6.0,single,False
Spring Snow,10CM,2025-05-22,72,46,3.0,,,,single,False
Spring Snow,10CM,2025-05-29,76,50,4.0,74.0,2.0,-12.0,single,False
Standing Next to You,Jung Kook,2025-03-03,95,8,2.0,95.0,0.0,0.0,album,False
Standing Next to You,Jung Kook,2025-03-03,95,8,2.0,95.0,0.0,0.0,album,False
Standing Next to You,Jung Kook,2025-03-15,93,5,2.0,93.0,0.0,3.0,album,False
Standing Next to You,Jung Kook,2025-03-26,92,7,2.0,92.0,0.0,-1.0,album,False
Standing Next to You,Jung Kook,2025-07-12,89,12,2.0,89.0,0.0,0.0,album,False
Standing Next to You,Jung Kook,2025-08-14,90,9,2.0,90.0,0.0,1.0,album,False
Stay Alive (Prod. SUGA of BTS),Jung Kook,2024-08-12,80,49,25.0,83.0,-3.0,-13.0,single,False
Steady,NCT WISH,2025-10-02,59,48,3.0,56.0,3.0,-11.0,album,False
"Steal The Show - From ""Elemental""",Lauv,2024-09-09,77,44,3.0,77.0,0.0,4.0,single,False
Sticky,KISS OF LIFE,2025-07-12,75,6,2.0,73.0,2.0,2.0,single,False
Sticky,KISS OF LIFE,2025-08-14,82,11,2.0,82.0,0.0,0.0,single,False
Sticky,KISS OF LIFE,2025-10-21,79,49,2.0,79.0,0.0,-9.0,single,False
Still With You,Jung Kook,2024-10-23,84,44,3.0,84.0,0.0,-7.0,single,False
Sudden Shower,ECLIPSE,2025-05-15,74,50,5.0,72.0,2.0,-2.0,single,False
Sudden Shower,ECLIPSE,2025-05-21,77,48,3.0,76.0,1.0,-5.0,single,False
Sudden Shower,ECLIPSE,2025-05-28,78,38,3.0,78.0,0.0,3.0,single,False
Sudden Shower,ECLIPSE,2025-07-12,78,38,2.0,78.0,0.0,-2.0,single,False
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-08-24,73,44,2.0,73.0,0.0,6.0,single,False
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-09-09,74,49,3.0,74.0,0.0,-2.0,single,False
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-09-13,74,46,4.0,,,,single,False
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-07,89,50,3.0,88.0,1.0,-18.0,album,False
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-10,89,46,2.0,89.0,0.0,-1.0,album,False
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-16,89,50,2.0,89.0,0.0,-1.0,album,False
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-21,88,48,5.0,,,,album,False
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-09-24,85,47,64.0,88.0,-3.0,0.0,album,False
Super,SEVENTEEN,2024-07-07,88,47,3.0,88.0,0.0,-14.0,single,False
Super,SEVENTEEN,2024-07-31,86,49,3.0,87.0,-1.0,-1.0,single,False
Super Lady,(G)I-DLE,2025-02-15,81,48,3.0,81.0,0.0,-3.0,album,False
Super Shy,NewJeans,2025-03-15,86,33,2.0,86.0,0.0,3.0,single,False
Super Shy,NewJeans,2025-03-26,85,31,2.0,85.0,0.0,-2.0,single,False
Super Shy,NewJeans,2025-07-12,81,39,2.0,81.0,0.0,-1.0,single,False
Super Shy,NewJeans,2025-08-14,81,35,2.0,81.0,0.0,1.0,single,False
Super Shy,NewJeans,2025-08-24,81,49,2.0,81.0,0.0,-2.0,single,False
Super Shy,NewJeans,2025-09-19,81,49,25.0,81.0,0.0,0.0,single,False
Supernatural,NewJeans,2025-07-12,82,4,2.0,81.0,1.0,0.0,single,False
Supernatural,NewJeans,2025-08-14,83,6,2.0,83.0,0.0,2.0,single,False
Supernova,aespa,2025-07-12,75,13,2.0,75.0,0.0,0.0,album,False
Supernova,aespa,2025-08-14,76,14,2.0,76.0,0.0,2.0,album,False
Supernova,aespa,2025-09-22,75,19,2.0,75.0,0.0,-2.0,album,False
Swan Song,LE SSERAFIM,2025-03-15,79,44,2.0,79.0,0.0,-2.0,single,False
Sweet Night,V,2024-09-04,80,39,4.0,81.0,-1.0,2.0,single,False
Sweet Night,V,2024-09-07,80,47,2.0,80.0,0.0,2.0,single,False
T.B.H,QWER,2025-07-12,62,37,2.0,62.0,0.0,0.0,single,False
T.B.H,QWER,2025-08-14,61,39,2.0,61.0,0.0,6.0,single,False
T.B.H,QWER,2025-08-25,60,44,4.0,61.0,-1.0,3.0,single,False
T.B.H,QWER,2025-09-19,60,50,22.0,60.0,0.0,-1.0,single,False
T.B.H,QWER,2025-09-29,59,44,10.0,,,,single,False
T.B.H,QWER,2025-10-10,59,50,3.0,59.0,0.0,-1.0,single,False
T.B.H,QWER,2025-10-15,59,47,4.0,59.0,0.0,2.0,single,False
T.B.H,QWER,2025-10-17,59,48,2.0,,,,single,False
Take Two,BTS,2024-11-07,85,49,6.0,86.0,-1.0,-4.0,single,False
Talk Saxy,RIIZE,2024-11-07,67,50,3.0,65.0,2.0,-10.0,single,False
Talk Saxy,RIIZE,2024-12-14,70,49,34.0,69.0,1.0,1.0,single,False
Talk Saxy,RIIZE,2025-01-10,70,49,26.0,70.0,0.0,-1.0,single,False
Talk Saxy,RIIZE,2025-01-12,70,46,2.0,,,,single,False
Talk Saxy,RIIZE,2025-01-17,70,50,4.0,70.0,0.0,-6.0,single,False
Talk Saxy,RIIZE,2025-01-27,70,49,6.0,70.0,0.0,1.0,single,False
Taste,Sabrina Carpenter,2025-09-20,96,47,4.0,95.0,1.0,1.0,album,False
Taste,Sabrina Carpenter,2025-09-25,96,47,4.0,96.0,0.0,-4.0,album,False
Taste,Sabrina Carpenter,2025-09-28,96,50,3.0,,,,album,False
Teddy Bear,STAYC,2024-05-21,74,47,3.0,74.0,0.0,0.0,single,False
Teddy Bear,STAYC,2024-05-29,74,45,2.0,74.0,0.0,4.0,single,False
Teddy Bear,STAYC,2024-05-31,74,48,2.0,,,,single,False
Teddy Bear,STAYC,2024-06-05,73,46,3.0,74.0,-1.0,3.0,single,False
That's What I Like,Bruno Mars,2025-11-11,87,45,508.0,87.0,0.0,-2.0,album,False
The Planet,BTS,2024-06-22,88,42,2.0,88.0,0.0,4.0,single,False
The Planet,BTS,2024-07-02,87,44,8.0,88.0,-1.0,4.0,single,False
The Planet,BTS,2024-07-16,86,46,12.0,87.0,-1.0,-3.0,single,False
Thirsty,aespa,2024-07-04,77,50,2.0,77.0,0.0,-1.0,single,False
Tick-Tack,ILLIT,2025-11-27,74,50,3.0,73.0,1.0,-1.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-04-01,54,49,3.0,55.0,-1.0,-2.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-04-14,55,42,10.0,54.0,1.0,7.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-04-23,55,49,3.0,55.0,0.0,-2.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-04-25,55,48,2.0,,,,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-06-03,54,49,38.0,55.0,-1.0,-2.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-08-14,54,47,72.0,,,,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-09-05,55,50,22.0,,,,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-10-06,56,37,2.0,56.0,0.0,4.0,single,False
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,2025-10-08,56,40,2.0,,,,single,False
To. X,TAEYEON,2025-03-15,75,20,2.0,75.0,0.0,0.0,single,False
To. X,TAEYEON,2025-03-26,75,21,2.0,75.0,0.0,1.0,single,False
To. X,TAEYEON,2025-05-05,75,50,5.0,76.0,-1.0,-8.0,single,False
Too Sad to Dance,Jung Kook,2024-12-04,86,50,2.0,86.0,0.0,-4.0,album,False
Too Sad to Dance,Jung Kook,2024-12-09,86,48,5.0,,,,album,False
Too Sad to Dance,Jung Kook,2024-12-14,85,47,2.0,85.0,0.0,3.0,album,False
Too Sad to Dance,Jung Kook,2024-12-16,85,47,2.0,,,,album,False
Too Sad to Dance,Jung Kook,2024-12-23,83,45,7.0,,,,album,False
Too Sad to Dance,Jung Kook,2025-03-01,80,39,68.0,,,,album,False
Too Sad to Dance,Jung Kook,2025-03-17,78,40,16.0,80.0,-2.0,5.0,album,False
Too Sad to Dance,Jung Kook,2025-03-19,78,41,2.0,,,,album,False
Too Sad to Dance,Jung Kook,2025-03-21,78,50,2.0,,,,album,False
Touch,KATSEYE,2025-09-05,82,47,2.0,82.0,0.0,3.0,single,False
Touch,KATSEYE,2025-11-15,85,50,4.0,85.0,0.0,-11.0,single,False
Trust in me,Lim Young Woong,2024-11-29,58,48,2.0,58.0,0.0,-1.0,single,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-05-24,68,43,2.0,68.0,0.0,6.0,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-06-06,69,45,2.0,69.0,0.0,-9.0,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-07-20,72,49,5.0,72.0,0.0,1.0,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-10-26,71,50,98.0,,,,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-10-29,71,43,3.0,,,,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-11-02,71,48,4.0,,,,album,False
VIBE (feat. Jimin of BTS),TAEYANG,2024-11-04,71,45,2.0,,,,album,False
Vancouver,BIG Naughty,2024-06-12,59,50,2.0,59.0,0.0,-11.0,single,False
Vancouver,BIG Naughty,2024-09-22,56,50,101.0,59.0,-3.0,0.0,single,False
WAY 4 LUV,PLAVE,2025-10-25,60,47,55.0,60.0,0.0,1.0,single,False
Warmth,Lim Young Woong,2025-07-12,65,18,2.0,65.0,0.0,0.0,single,False
Warmth,Lim Young Woong,2025-08-14,65,19,2.0,66.0,-1.0,-2.0,single,False
Warmth,Lim Young Woong,2025-10-29,62,50,3.0,62.0,0.0,-3.0,single,False
Warmth,Lim Young Woong,2025-11-01,62,49,3.0,,,,single,False
Welcome to the Show,DAY6,2025-03-26,63,36,2.0,61.0,2.0,-4.0,album,False
Welcome to the Show,DAY6,2025-04-02,65,48,2.0,65.0,0.0,-1.0,album,False
Welcome to the Show,DAY6,2025-04-16,67,46,12.0,65.0,2.0,0.0,album,False
Welcome to the Show,DAY6,2025-04-18,67,48,2.0,,,,album,False
Welcome to the Show,DAY6,2025-09-07,59,44,141.0,67.0,-8.0,4.0,album,False
Welcome to the Show,DAY6,2025-11-21,59,47,2.0,59.0,0.0,-9.0,album,False
Who,Jimin,2025-08-14,94,1,2.0,94.0,0.0,0.0,album,False
Who (Acoustic Remix),Jimin,2025-08-14,62,42,2.0,62.0,0.0,-8.0,album,False
Who (Acoustic Remix),Jimin,2025-08-28,63,45,4.0,62.0,1.0,-2.0,album,False
Who (Acoustic Remix),Jimin,2025-09-21,64,50,24.0,,,,album,False
Who (Acoustic Remix),Jimin,2025-09-30,65,44,2.0,65.0,0.0,-5.0,album,False
Who (Acoustic Remix),Jimin,2025-11-06,66,36,2.0,66.0,0.0,4.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-08-05,61,50,2.0,61.0,0.0,-15.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-08-17,62,49,5.0,62.0,0.0,-6.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-08-20,62,49,3.0,,,,album,False
Who (Beautiful Mind Remix),Jimin,2025-08-23,62,49,2.0,62.0,0.0,0.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-09-22,63,32,30.0,,,,album,False
Who (Beautiful Mind Remix),Jimin,2025-09-27,64,45,3.0,64.0,0.0,0.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-09-30,64,49,2.0,64.0,0.0,-3.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-10-19,64,44,2.0,64.0,0.0,-1.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-10-27,65,46,2.0,65.0,0.0,-4.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-11-04,65,48,3.0,65.0,0.0,-5.0,album,False
Who (Beautiful Mind Remix),Jimin,2025-11-06,65,41,2.0,,,,album,False
Who (Beautiful Mind Remix),Jimin,2025-11-20,65,45,4.0,65.0,0.0,-4.0,album,False
Who (Funky Remix),Jimin,2025-08-14,62,49,2.0,62.0,0.0,-14.0,album,False
Who (Funky Remix),Jimin,2025-08-17,62,44,3.0,,,,album,False
Who (Funky Remix),Jimin,2025-08-20,62,39,3.0,,,,album,False
Who (Funky Remix),Jimin,2025-09-22,64,34,29.0,62.0,2.0,8.0,album,False
Who (Funky Remix),Jimin,2025-09-27,64,49,3.0,64.0,0.0,-3.0,album,False
Who (Funky Remix),Jimin,2025-10-01,64,41,3.0,64.0,0.0,3.0,album,False
Who (Funky Remix),Jimin,2025-10-16,64,48,2.0,64.0,0.0,-1.0,album,False
Who (Funky Remix),Jimin,2025-10-19,64,47,2.0,64.0,0.0,-3.0,album,False
Who (Funky Remix),Jimin,2025-10-27,65,47,2.0,65.0,0.0,-1.0,album,False
Who (Funky Remix),Jimin,2025-11-03,65,50,2.0,65.0,0.0,-8.0,album,False
Who (Funky Remix),Jimin,2025-11-06,65,40,2.0,65.0,0.0,6.0,album,False
Who (Funky Remix),Jimin,2025-11-20,65,46,3.0,65.0,0.0,4.0,album,False
Who (Instrumental),Jimin,2025-08-14,61,46,2.0,61.0,0.0,-7.0,album,False
Who (Instrumental),Jimin,2025-08-23,61,46,2.0,61.0,0.0,-1.0,album,False
Who (Instrumental),Jimin,2025-09-22,63,30,29.0,61.0,2.0,15.0,album,False
Who (Instrumental),Jimin,2025-09-26,63,50,2.0,63.0,0.0,-9.0,album,False
Who (Instrumental),Jimin,2025-09-30,63,48,2.0,63.0,0.0,-6.0,album,False
Who (Instrumental),Jimin,2025-11-04,65,47,2.0,65.0,0.0,3.0,album,False
Who (Instrumental),Jimin,2025-11-06,65,43,2.0,,,,album,False
Who (Instrumental),Jimin,2025-11-18,65,50,2.0,65.0,0.0,-10.0,album,False
Who (Instrumental),Jimin,2025-11-20,65,44,2.0,,,,album,False
Who (Rock Remix),Jimin,2025-08-14,63,43,2.0,63.0,0.0,-14.0,album,False
